day,date,type,destination,file,status,approval
1,2026-07-27,reel,07-reels/month-01/,day-01_el-caos-del-whatsapp-desordenado_pain.md,PENDIENTE,NO APROBADO
1,2026-07-27,export,07-reels/month-01/,day-01_el-caos-del-whatsapp-desordenado_pain.png,PENDIENTE,NO APROBADO
2,2026-07-28,post,06-posts/month-01/,day-02_por-que-el-pdf-te-cuesta-dinero_carousel.md,PENDIENTE,NO APROBADO
2,2026-07-28,export,06-posts/month-01/,day-02_por-que-el-pdf-te-cuesta-dinero_carousel.png,PENDIENTE,NO APROBADO
3,2026-07-29,reel,07-reels/month-01/,day-03_del-link-al-pedido-en-20-segundos_product.md,PENDIENTE,NO APROBADO
3,2026-07-29,export,07-reels/month-01/,day-03_del-link-al-pedido-en-20-segundos_product.png,PENDIENTE,NO APROBADO
4,2026-07-30,post,06-posts/month-01/,day-04_0-de-comision_data.md,PENDIENTE,NO APROBADO
4,2026-07-30,export,06-posts/month-01/,day-04_0-de-comision_data.png,PENDIENTE,NO APROBADO
5,2026-07-31,reel,07-reels/month-01/,day-05_tacos-al-pastor-en-camara-lenta_foodporn.md,PENDIENTE,NO APROBADO
5,2026-07-31,export,07-reels/month-01/,day-05_tacos-al-pastor-en-camara-lenta_foodporn.png,PENDIENTE,NO APROBADO
6,2026-08-01,post,06-posts/month-01/,day-06_el-que-cocina-manda_culture.md,PENDIENTE,NO APROBADO
6,2026-08-01,export,06-posts/month-01/,day-06_el-que-cocina-manda_culture.png,PENDIENTE,NO APROBADO
7,2026-08-02,post,06-posts/month-01/,day-07_precio-fundador-de-lanzamiento_commercial.md,PENDIENTE,NO APROBADO
7,2026-08-02,export,06-posts/month-01/,day-07_precio-fundador-de-lanzamiento_commercial.png,PENDIENTE,NO APROBADO
8,2026-08-03,reel,07-reels/month-01/,day-08_el-menu-en-pdf-que-espanta_pain.md,PENDIENTE,NO APROBADO
8,2026-08-03,export,07-reels/month-01/,day-08_el-menu-en-pdf-que-espanta_pain.png,PENDIENTE,NO APROBADO
9,2026-08-04,post,06-posts/month-01/,day-09_marketplace-vs-venta-directa_carousel.md,PENDIENTE,NO APROBADO
9,2026-08-04,export,06-posts/month-01/,day-09_marketplace-vs-venta-directa_carousel.png,PENDIENTE,NO APROBADO
10,2026-08-05,reel,07-reels/month-01/,day-10_el-pedido-perfecto-en-tu-whatsapp_product.md,PENDIENTE,NO APROBADO
10,2026-08-05,export,07-reels/month-01/,day-10_el-pedido-perfecto-en-tu-whatsapp_product.png,PENDIENTE,NO APROBADO
11,2026-08-06,post,06-posts/month-01/,day-11_menu-qr-vs-streetboss_data.md,PENDIENTE,NO APROBADO
11,2026-08-06,export,06-posts/month-01/,day-11_menu-qr-vs-streetboss_data.png,PENDIENTE,NO APROBADO
12,2026-08-07,reel,07-reels/month-01/,day-12_el-queso-que-se-estira_foodporn.md,PENDIENTE,NO APROBADO
12,2026-08-07,export,07-reels/month-01/,day-12_el-queso-que-se-estira_foodporn.png,PENDIENTE,NO APROBADO
13,2026-08-08,post,06-posts/month-01/,day-13_vende-directo-manda-tu_culture.md,PENDIENTE,NO APROBADO
13,2026-08-08,export,06-posts/month-01/,day-13_vende-directo-manda-tu_culture.png,PENDIENTE,NO APROBADO
14,2026-08-09,post,06-posts/month-01/,day-14_ustedes-reparten-no_commercial.md,PENDIENTE,NO APROBADO
14,2026-08-09,export,06-posts/month-01/,day-14_ustedes-reparten-no_commercial.png,PENDIENTE,NO APROBADO
15,2026-08-10,reel,07-reels/month-01/,day-15_el-30-que-regalas_pain.md,PENDIENTE,NO APROBADO
