id,nombre,slug,categoria,subcategoria,facebook,instagram,whatsapp,messenger,telefono,correo,sitio_web,ciudad,estado,pais,direccion,latitud,longitud,descripcion,horario,score_comercial,estado_comercial,origen,archivo_origen,fecha_creacion,ultima_actualizacion,observaciones
SB-REST-AB41771F,"""Doña Noli"" Pozol y Tacos (5 de Mayo)",dona-noli-pozol-y-tacos-5-de-mayo-tuxtla-gutierrez,Taquería,Taquería,https://www.facebook.com/DonaNoli,,+529612191415,,+529612191415,,https://www.facebook.com/DonaNoli/?ref=bookmarks,Tuxtla Gutiérrez,Chiapas,México,"2a. Nte. 1144, entre 10 y 11 oriente, Hidalgo, 29043 Tuxtla Gutiérrez, Chis., México",,,,sábado: 9 AM to 3:30 PM | domingo: 9 AM to 2:30 PM | lunes: 9 AM to 3:30 PM | martes: 9 AM to 3:30 PM | miércoles: 9 AM to 3:30 PM | jueves: 9 AM to 3:30 PM | viernes: 9 AM to 3:30 PM,75,Listo para Contacto,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_07-19-18-675.csv, streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv, streetboss_leads_master_2026-08-01/streetboss_top_contactables_A_Aplus.csv, streetboss_mvp0_tuxtla_taquerias_clean_scored.csv, streetboss_mvp0_tuxtla_taquerias_top20_contactables.csv, streetboss_mvp0_tuxtla_taquerias_top50_revision.csv",2026-08-05T02:27:35.860524,2026-08-05T02:27:40.962444,Ingestado desde dataset_crawler-google-places_2026-08-01_07-19-18-675.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_top_contactables_A_Aplus.csv | Ingestado desde streetboss_mvp0_tuxtla_taquerias_clean_scored.csv | Ingestado desde streetboss_mvp0_tuxtla_taquerias_top20_contactables.csv | Ingestado desde streetboss_mvp0_tuxtla_taquerias_top50_revision.csv
SB-REST-871D53DE,"""Doña Noli"" Pozol y Tacos - Carretera Villaflores",dona-noli-pozol-y-tacos-carretera-villaflores-tuxtla-gutierrez,Taquería,Taquería,https://www.facebook.com/DonaNoli,,+529612097441,,+529612097441,,https://www.facebook.com/DonaNoli/,Tuxtla Gutiérrez,Chiapas,México,"Carr. Villaflores 1163a, Sur Oriente Colonia, Obrera, 29080 Tuxtla Gutiérrez, Chis., México",,,,sábado: 9 AM to 3:30 PM | domingo: 9 AM to 2:30 PM | lunes: 9 AM to 3:30 PM | martes: 9 AM to 3:30 PM | miércoles: 9 AM to 3:30 PM | jueves: 9 AM to 3:30 PM | viernes: 9 AM to 3:30 PM,75,Listo para Contacto,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_07-19-18-675.csv, streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv, streetboss_leads_master_2026-08-01/streetboss_top_contactables_A_Aplus.csv, streetboss_mvp0_tuxtla_taquerias_clean_scored.csv, streetboss_mvp0_tuxtla_taquerias_top50_revision.csv",2026-08-05T02:27:35.849392,2026-08-05T02:27:40.962701,Ingestado desde dataset_crawler-google-places_2026-08-01_07-19-18-675.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_top_contactables_A_Aplus.csv | Ingestado desde streetboss_mvp0_tuxtla_taquerias_clean_scored.csv | Ingestado desde streetboss_mvp0_tuxtla_taquerias_top50_revision.csv
SB-REST-CA16AB50,"""El Parachico""",el-parachico-tuxtla-gutierrez,Restaurante,Restaurante General,,,,,,,,Tuxtla Gutiérrez,Chiapas,México,"Av. 4a. Sur Ote. 1461, Tzocotumbak, 29073 Tuxtla Gutiérrez, Chis., México",,,,,15,Requiere Enriquecimiento,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-05-47-215.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:37.466767,2026-08-05T02:27:40.952236,Ingestado desde dataset_crawler-google-places_2026-08-01_08-05-47-215.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-7BD7D756,"""La Biela"", Pizzería",la-biela-pizzeria-tuxtla-gutierrez,Pizzería,Pizzería,,,+529611956232,,+529611956232,,,Tuxtla Gutiérrez,Chiapas,México,"29060, Av 1a. Sur Pte 1336, La Lomita, Tuxtla Gutiérrez, Chis., México",,,,sábado: 4 to 11:30 PM | domingo: Cerrado | lunes: 4 to 11:30 PM | martes: 4 to 11:30 PM | miércoles: 4 to 11:30 PM | jueves: 4 to 11:30 PM | viernes: 4 to 11:30 PM,40,Requiere Enriquecimiento,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-02-54-616.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:36.781926,2026-08-05T02:27:40.932213,Ingestado desde dataset_crawler-google-places_2026-08-01_08-02-54-616.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-E69F2CA9,"""La feria del taco"" Taquería y Antojería",la-feria-del-taco-taqueria-y-antojeria-tuxtla-gutierrez,Taquería,Taquería,,,+529612644996,,+529612644996,,,Tuxtla Gutiérrez,Chiapas,México,"Blvd. Ángel Albino Corzo 2744, El Retiro, 29040 Tuxtla Gutiérrez, Chis., México",,,,viernes: 7:30 AM to 4:30 a.m. | sábado: 7:30 AM to 4:30 a.m. | domingo: 7:30 AM to 4:30 a.m. | lunes: 7:30 AM to 4:30 a.m. | martes: 7:30 AM to 4:30 a.m. | miércoles: 7:30 AM to 4:30 a.m. | jueves: 7:30 AM to 4:30 a.m.,40,Requiere Enriquecimiento,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_07-19-18-675.csv, streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv, streetboss_mvp0_tuxtla_taquerias_clean_scored.csv, streetboss_mvp0_tuxtla_taquerias_top50_revision.csv",2026-08-05T02:27:35.842567,2026-08-05T02:27:40.962966,Ingestado desde dataset_crawler-google-places_2026-08-01_07-19-18-675.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv | Ingestado desde streetboss_mvp0_tuxtla_taquerias_clean_scored.csv | Ingestado desde streetboss_mvp0_tuxtla_taquerias_top50_revision.csv
SB-REST-C66130F0,[5 de Mayo] Restaurant,5-de-mayo-restaurant-tuxtla-gutierrez,Restaurante,Restaurante General,,,+529616045355,,+529616045355,,http://xn--prximamente-reb.com/,Tuxtla Gutiérrez,Chiapas,México,"Río Bombaná 334, Albania Alta, 29010 Tuxtla Gutiérrez, Chis., México",,,,sábado: 11 AM to 6 PM | domingo: 11 AM to 6 PM | lunes: 11 AM to 6 PM | martes: 11 AM to 6 PM | miércoles: 11 AM to 6 PM | jueves: 11 AM to 6 PM | viernes: 11 AM to 6 PM,55,Listo para Contacto,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-05-47-215.csv, dataset_crawler-google-places_2026-08-01_08-14-31-906.csv, streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:37.364314,2026-08-05T02:27:40.919091,Ingestado desde dataset_crawler-google-places_2026-08-01_08-05-47-215.csv | Ingestado desde dataset_crawler-google-places_2026-08-01_08-14-31-906.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-56D85DB8,A Fuego Lento,a-fuego-lento-tuxtla-gutierrez,Comida Rápida,Hamburguesería,https://www.facebook.com/A-FUEGO-LENTO-1556720484606167/timeline,,+529611908321,,+529611908321,,https://www.facebook.com/A-FUEGO-LENTO-1556720484606167/timeline/,Tuxtla Gutiérrez,Chiapas,México,"Calle 12ª Poniente Sur & Avenida 2a. Sur Poniente, Las Canoitas, Tuxtla Gutiérrez, Chis., México",,,,sábado: 3 to 10:30 PM | domingo: 3 to 10:30 PM | lunes: 3 to 10:30 PM | martes: 3 to 10:30 PM | miércoles: 3 to 10:30 PM | jueves: 3 to 10:30 PM | viernes: 3 to 10:30 PM,75,Listo para Contacto,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-01-35-423.csv, streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv, streetboss_leads_master_2026-08-01/streetboss_top_contactables_A_Aplus.csv",2026-08-05T02:27:36.265858,2026-08-05T02:27:40.956870,Ingestado desde dataset_crawler-google-places_2026-08-01_08-01-35-423.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_top_contactables_A_Aplus.csv
SB-REST-574B74BD,Abarrotes y antojitos Güerito,abarrotes-y-antojitos-guerito-tuxtla-gutierrez,Bar,Bar & Bares,,,+529613078922,,+529613078922,,,Tuxtla Gutiérrez,Chiapas,México,"Anonas esquina, Clavel Lote 10, 29010 Tuxtla Gutiérrez, Chis., México",,,,,40,Requiere Enriquecimiento,Downloads Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-06-48-832.csv, streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:27:37.633024,2026-08-05T02:27:40.937162,Ingestado desde dataset_crawler-google-places_2026-08-01_08-06-48-832.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv | Ingestado desde streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv
SB-REST-03C1AC4D,Adas Artesanal Café | Tuxtla Gutiérrez,adas-artesanal-cafe-tuxtla-gutierrez-tuxtla-gutierrez,Cafetería,Cafetería,https://www.facebook.com/adascafemx,,,https://m.me/adascafemx,,,,Tuxtla Gutiérrez,Chiapas,México,,,,,,25,Requiere Enriquecimiento,Downloads Batch Ingestion,Base_Restaurantes_StreetBoss_V2.xlsx,2026-08-05T02:27:35.327844,2026-08-05T02:27:35.327844,Ingestado desde Base_Restaurantes_StreetBoss_V2.xlsx
SB-REST-AEEA0E01,Adela Restaurante | Tuxtla Gutiérrez,adela-restaurante-tuxtla-gutierrez-tuxtla-gutierrez,Restaurante,Restaurante General,https://www.facebook.com/adelarestaurantemx,,,https://m.me/adelarestaurantemx,,,,Tuxtla Gutiérrez,Chiapas,México,,,,,,25,Requiere Enriquecimiento,Downloads Batch Ingestion,Base_Restaurantes_StreetBoss_V2.xlsx,2026-08-05T02:27:35.313143,2026-08-05T02:27:35.313143,Ingestado desde Base_Restaurantes_StreetBoss_V2.xlsx
