id,nombre,slug,categoria,subcategoria,facebook,instagram,whatsapp,messenger,telefono,correo,sitio_web,ciudad,estado,pais,direccion,latitud,longitud,descripcion,horario,score_comercial,estado_comercial,origen,archivo_origen,fecha_creacion,ultima_actualizacion,observaciones
SB-REST-AUD-10EB4518,"""Doña Noli"" Pozol y Tacos (5 de Mayo)",dona-noli-pozol-y-tacos-5-de-mayo-tuxtla-gutierrez,Taquería,Taquería,https://www.facebook.com/DonaNoli,,+529612191415,,+529612191415,,https://www.facebook.com/DonaNoli/?ref=bookmarks,Tuxtla Gutiérrez,Chiapas,México,"2a. Nte. 1144, entre 10 y 11 oriente, Hidalgo, 29043 Tuxtla Gutiérrez, Chis., México",,,,sábado: 9 AM to 3:30 PM | domingo: 9 AM to 2:30 PM | lunes: 9 AM to 3:30 PM | martes: 9 AM to 3:30 PM | miércoles: 9 AM to 3:30 PM | jueves: 9 AM to 3:30 PM | viernes: 9 AM to 3:30 PM,75,Listo para Contacto,Audited Batch Ingestion,"streetboss_mvp0_tuxtla_taquerias_top50_revision.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, dataset_crawler-google-places_2026-08-01_07-19-18-675.csv, streetboss_mvp0_tuxtla_taquerias_top20_contactables.csv, streetboss_leads_master_2026-08-01/streetboss_top_contactables_A_Aplus.csv",2026-08-05T02:41:54.575247,2026-08-05T02:41:54.575247,Ingestado y auditado desde dataset_crawler-google-places_2026-08-01_07-19-18-675.csv
SB-REST-AUD-B599A405,"""Doña Noli"" Pozol y Tacos (5 de Mayo)",dona-noli-pozol-y-tacos-5-de-mayo-tuxtla-gutierrez,Taquería,Taquería,https://www.facebook.com/DonaNoli,,+5296121914150,,+5296121914150,,https://www.facebook.com/DonaNoli/?ref=bookmarks,Tuxtla Gutiérrez,Chiapas,México,"2a. Nte. 1144, entre 10 y 11 oriente, Hidalgo, 29043 Tuxtla Gutiérrez, Chis., México",,,,sábado: 9 AM to 3:30 PM | domingo: 9 AM to 2:30 PM | lunes: 9 AM to 3:30 PM | martes: 9 AM to 3:30 PM | miércoles: 9 AM to 3:30 PM | jueves: 9 AM to 3:30 PM | viernes: 9 AM to 3:30 PM,75,Listo para Contacto,Audited Batch Ingestion,"streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv, streetboss_mvp0_tuxtla_taquerias_clean_scored.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv",2026-08-05T02:41:56.153307,2026-08-05T02:41:56.153307,Ingestado y auditado desde streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv
SB-REST-AUD-95D122BE,"""Doña Noli"" Pozol y Tacos - Carretera Villaflores",dona-noli-pozol-y-tacos-carretera-villaflores-tuxtla-gutierrez,Taquería,Taquería,https://www.facebook.com/DonaNoli,,+529612097441,,+529612097441,,https://www.facebook.com/DonaNoli/,Tuxtla Gutiérrez,Chiapas,México,"Carr. Villaflores 1163a, Sur Oriente Colonia, Obrera, 29080 Tuxtla Gutiérrez, Chis., México",,,,sábado: 9 AM to 3:30 PM | domingo: 9 AM to 2:30 PM | lunes: 9 AM to 3:30 PM | martes: 9 AM to 3:30 PM | miércoles: 9 AM to 3:30 PM | jueves: 9 AM to 3:30 PM | viernes: 9 AM to 3:30 PM,75,Listo para Contacto,Audited Batch Ingestion,"streetboss_mvp0_tuxtla_taquerias_top50_revision.csv, streetboss_leads_master_2026-08-01/streetboss_top_contactables_A_Aplus.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv, dataset_crawler-google-places_2026-08-01_07-19-18-675.csv",2026-08-05T02:41:54.567269,2026-08-05T02:41:54.567269,Ingestado y auditado desde dataset_crawler-google-places_2026-08-01_07-19-18-675.csv
SB-REST-AUD-6199C677,"""Doña Noli"" Pozol y Tacos - Carretera Villaflores",dona-noli-pozol-y-tacos-carretera-villaflores-tuxtla-gutierrez,Taquería,Taquería,https://www.facebook.com/DonaNoli,,+5296120974410,,+5296120974410,,https://www.facebook.com/DonaNoli/,Tuxtla Gutiérrez,Chiapas,México,"Carr. Villaflores 1163a, Sur Oriente Colonia, Obrera, 29080 Tuxtla Gutiérrez, Chis., México",,,,sábado: 9 AM to 3:30 PM | domingo: 9 AM to 2:30 PM | lunes: 9 AM to 3:30 PM | martes: 9 AM to 3:30 PM | miércoles: 9 AM to 3:30 PM | jueves: 9 AM to 3:30 PM | viernes: 9 AM to 3:30 PM,75,Listo para Contacto,Audited Batch Ingestion,"streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv, streetboss_mvp0_tuxtla_taquerias_clean_scored.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv, streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv",2026-08-05T02:41:56.157181,2026-08-05T02:41:56.157181,Ingestado y auditado desde streetboss_leads_master_2026-08-01/streetboss_delivery_confirmed.csv
SB-REST-AUD-B656B82C,"""El Parachico""",el-parachico-tuxtla-gutierrez,Restaurante,Restaurante General,,,,,,,,Tuxtla Gutiérrez,Chiapas,México,"Av. 4a. Sur Ote. 1461, Tzocotumbak, 29073 Tuxtla Gutiérrez, Chis., México",,,,,15,Requiere Enriquecimiento,Audited Batch Ingestion,"streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, dataset_crawler-google-places_2026-08-01_08-05-47-215.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:41:55.390943,2026-08-05T02:41:55.390943,Ingestado y auditado desde dataset_crawler-google-places_2026-08-01_08-05-47-215.csv
SB-REST-AUD-79B48E05,"""La Biela"", Pizzería",la-biela-pizzeria-tuxtla-gutierrez,Pizzería,Pizzería,,,+529611956232,,+529611956232,,,Tuxtla Gutiérrez,Chiapas,México,"29060, Av 1a. Sur Pte 1336, La Lomita, Tuxtla Gutiérrez, Chis., México",,,,sábado: 4 to 11:30 PM | domingo: Cerrado | lunes: 4 to 11:30 PM | martes: 4 to 11:30 PM | miércoles: 4 to 11:30 PM | jueves: 4 to 11:30 PM | viernes: 4 to 11:30 PM,40,Requiere Enriquecimiento,Audited Batch Ingestion,"dataset_crawler-google-places_2026-08-01_08-02-54-616.csv, streetboss_leads_master_2026-08-01/streetboss_meta_ads_customer_list_phones.csv",2026-08-05T02:41:54.957892,2026-08-05T02:41:54.957892,Ingestado y auditado desde dataset_crawler-google-places_2026-08-01_08-02-54-616.csv
SB-REST-AUD-50E54B0E,"""La Biela"", Pizzería",la-biela-pizzeria-tuxtla-gutierrez,Pizzería,Pizzería,,,+5296119562320,,+5296119562320,,,Tuxtla Gutiérrez,Chiapas,México,"29060, Av 1a. Sur Pte 1336, La Lomita, Tuxtla Gutiérrez, Chis., México",,,,sábado: 4 to 11:30 PM | domingo: Cerrado | lunes: 4 to 11:30 PM | martes: 4 to 11:30 PM | miércoles: 4 to 11:30 PM | jueves: 4 to 11:30 PM | viernes: 4 to 11:30 PM,40,Requiere Enriquecimiento,Audited Batch Ingestion,"streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv, streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:41:56.312291,2026-08-05T02:41:56.312291,Ingestado y auditado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv
SB-REST-AUD-62262FC9,"""La Doña"" Antojitos",la-dona-antojitos-tuxtla-gutierrez,Restaurante,Comida Mexicana,,,,,,,,Tuxtla Gutiérrez,Chiapas,México,"Av 1a. Sur Pte 280, El Calvario, 29000 Tuxtla Gutiérrez, Chis., México",,,,,15,Requiere Enriquecimiento,Audited Batch Ingestion,dataset_crawler-google-places_2026-08-01_08-06-48-832.csv,2026-08-05T02:41:55.493217,2026-08-05T02:41:55.493217,Ingestado y auditado desde dataset_crawler-google-places_2026-08-01_08-06-48-832.csv
SB-REST-AUD-3ECF49D7,"""La Doña"" Antojitos",la-dona-antojitos-tuxtla-gutierrez,Restaurante,Comida Mexicana,,,,,,,,Tuxtla Gutiérrez,Chiapas,México,"Av 1a. Sur Pte 280, El Calvario, 29000 Tuxtla Gutiérrez, Chis., México",,,,,15,Requiere Enriquecimiento,Audited Batch Ingestion,streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv,2026-08-05T02:41:56.372906,2026-08-05T02:41:56.372906,Ingestado y auditado desde streetboss_leads_master_2026-08-01/streetboss_master_leads_dashboard_ready.csv
SB-REST-AUD-BBC691C4,"""La Doña"" Antojitos",la-dona-antojitos-tuxtla-gutierrez,Restaurante,Comida Mexicana,,,,,,,,Tuxtla Gutiérrez,Chiapas,México,"Av 1a. Sur Pte 280, El Calvario, 29000 Tuxtla Gutiérrez, Chis., México",,,,,15,Requiere Enriquecimiento,Audited Batch Ingestion,"streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv, streetboss_leads_master_2026-08-01/streetboss_social_enrichment_queue.csv",2026-08-05T02:41:56.692715,2026-08-05T02:41:56.692715,Ingestado y auditado desde streetboss_leads_master_2026-08-01/streetboss_needs_enrichment_social_email.csv
