id,nombre,facebook
SB-REST-AUD-10EB4518,"""Doña Noli"" Pozol y Tacos (5 de Mayo)",https://www.facebook.com/DonaNoli
SB-REST-AUD-95D122BE,"""Doña Noli"" Pozol y Tacos - Carretera Villaflores",https://www.facebook.com/DonaNoli
SB-REST-AUD-40A0725F,A Fuego Lento,https://www.facebook.com/A-FUEGO-LENTO-1556720484606167/timeline
SB-REST-AUD-BD368EE3,Adas Artesanal Café | Tuxtla Gutiérrez,https://www.facebook.com/adascafemx
SB-REST-AUD-8D7FE119,Adela Restaurante | Tuxtla Gutiérrez,https://www.facebook.com/adelarestaurantemx
SB-REST-AUD-22EDC285,Akira Makis (@Akira.snacksysushi),https://www.facebook.com/Akira.snacksysushi
SB-REST-AUD-33313D32,Al barbón | Tuxtla Gutiérrez,https://www.facebook.com/108399414417367
SB-REST-AUD-570120EA,Alabama Cocina de Mar | Tuxtla Gutiérrez,https://www.facebook.com/p/Alabama-Cocina-de-Mar-61575187616435
SB-REST-AUD-480C67CB,ALDO | Tuxtla Gutiérrez,https://www.facebook.com/aldococinas
SB-REST-AUD-F6B03641,Alitas Chan-Kin (@alitaschankin),https://www.facebook.com/alitaschankin
SB-REST-AUD-7D18FBE9,Alitas El Monchis Tuxtla,https://www.facebook.com/elmonchistuxtla
SB-REST-AUD-D598415B,Alitas En Fuga | Tuxtla Gutiérrez,https://www.facebook.com/CuaxiNango
SB-REST-AUD-4D05D572,"Alitas y antojitos ""maja"" | Tuxtla Gutiérrez",https://www.facebook.com/100069925360519
SB-REST-AUD-5ADC2416,Alitas y Snack's Valeria | Tuxtla Gutiérrez,https://www.facebook.com/p/Alitas-y-Snacks-Valeria-100043508954153
SB-REST-AUD-5BC8581C,Amor a Chiapas Bazar,https://www.facebook.com/AMOR-A-CHIAPAS-BAZAR-289366798399139
SB-REST-AUD-74A4A7A8,Andares Tuxtla,https://www.facebook.com/Andares-Tuxtla-2205302699712325
SB-REST-AUD-D9A71790,Antojitos Doña Chepita,http://facebook.com/Antojitos-Do%C3%B1a-Chepita-Tuxtla-Gtz-2249266628623363
SB-REST-AUD-C888BEC6,Arroz Restaurante | Tuxtla Gutiérrez,https://www.facebook.com/p/Arroz-Restaurante-100034850333428
SB-REST-AUD-68F9C1F3,Asher Restaurante Brunch | Tuxtla Gutiérrez,https://www.facebook.com/asherbrunchmx
SB-REST-AUD-7F9C6C34,AUTE Bistro Tuxtla | Tuxtla Gutiérrez,https://www.facebook.com/AUTEBISTROTUXTLA
SB-REST-AUD-D7D3A056,AviFoods Alimentos | Tuxtla Gutiérrez,https://www.facebook.com/p/AviFoods-Alimentos-61553375922797
SB-REST-AUD-30510134,Baja Taco Shop,https://www.facebook.com/BajaTacoShop
SB-REST-AUD-81A3A589,Balajú Marisquería,https://www.facebook.com/Balajumarisqueria
SB-REST-AUD-2C2EF34D,Bambu Sushi Sucursal | Tuxtla Gutiérrez,https://www.facebook.com/p/Bambu-Sushi-Sucursal-61574736875196
SB-REST-AUD-0B73F074,BAMBÚ SUSHI | Tuxtla Gutiérrez,https://www.facebook.com/bambusushituxtla
SB-REST-AUD-4AEB5625,Bar El Pelucas | Tuxtla Gutiérrez,https://www.facebook.com/barelpelucas
SB-REST-AUD-E87F6383,Bar el rincón bohemio | Tuxtla Gutiérrez,https://www.facebook.com/barelrinconbohemio
SB-REST-AUD-69F96FD5,Bar Los Limones Ligth | Tuxtla Gutiérrez,https://www.facebook.com/BarLosLimonesLigth
SB-REST-AUD-7D0FF26B,Bar tío choris | Tuxtla Gutiérrez,https://www.facebook.com/p/Bar-t%C3%ADo-choris-100076166045553
SB-REST-AUD-BC48AE41,Barbacoa De Borrego El Rincón del Charro | Tuxtla Gutiérrez,https://www.facebook.com/p/Barbacoa-De-Borrego-El-Rinc%C3%B3n-del-Charro-100054650160357
SB-REST-AUD-EB495765,BIG APPLE Burger | Tuxtla Gutiérrez,https://www.facebook.com/p/BIG-APPLE-Burger-100054201114630
SB-REST-AUD-9E909BE0,Biggies Burgers | Tuxtla Gutiérrez,https://www.facebook.com/BiggiesBurguers
SB-REST-AUD-E89FC89E,BigMonchis,https://m.facebook.com/BIGMONCHIS
SB-REST-AUD-50095BC9,Bigotonas smash burguer,https://www.facebook.com/Bigotonasmx
SB-REST-AUD-EC20E62C,Birrias Estilo Tijuana El Compa Chino. | Tuxtla Gutiérrez,https://www.facebook.com/elcompachinochiapas
SB-REST-AUD-F0CF0DF8,BLAA | Tuxtla Gutiérrez,https://www.facebook.com/blaarestaurante
SB-REST-AUD-EE0CD597,Bocatto Restaurante & Coffee | Tuxtla Gutiérrez,https://www.facebook.com/BocattoCoffee
SB-REST-AUD-8A39AD5C,BOTANAS,https://www.facebook.com/share/1bhMaQKf6B
SB-REST-AUD-0CD28F97,Boyante | Tuxtla Gutiérrez,https://www.facebook.com/BoyanteRestaurante
SB-REST-AUD-BD5C5B23,Bravo Restaurante Italiano | Tuxtla Gutiérrez,https://www.facebook.com/p/Bravo-Restaurante-Italiano-61556351649581
SB-REST-AUD-7E8FC962,BREIK Tuxtla | Tuxtla Gutiérrez,https://www.facebook.com/BREIKpizza
SB-REST-AUD-BFEE092B,Buffalos Wings Tuxtla | Tuxtla Gutiérrez,https://www.facebook.com/buffaloswingstuxtla
SB-REST-AUD-B87F2B0F,Burger Queen | Tuxtla Gutiérrez,https://www.facebook.com/Burgerandwing
SB-REST-AUD-F2D47491,Burgerthoven Franquicias,https://www.facebook.com/Burgerthoven
SB-REST-AUD-39A5499D,Burguers Hamburguesas al carbón | Tuxtla Gutiérrez,https://www.facebook.com/wontonbymakiroll
SB-REST-AUD-117F7CB6,Cafe Biomaya Chiapas 5 de mayo | Tuxtla Gutiérrez,https://www.facebook.com/BIOMAYACAFE
SB-REST-AUD-3860F4DD,Cafecito DIF | Tuxtla Gutiérrez,https://www.facebook.com/CafecitoDIF
SB-REST-AUD-1FFF130A,Cafeteria Marca Chiapas - Plaza Cristal | Tuxtla Gutiérrez,https://www.facebook.com/cafeteriamarcachiapasplazacristal
SB-REST-AUD-5DA4DC6F,Cafetería Bauztel | Tuxtla Gutiérrez,https://www.facebook.com/bauztel
SB-REST-AUD-5C1B7BF4,Cafetería Bonampak | Tuxtla Gutiérrez,https://www.facebook.com/cafeteriabonampaktuxtla
SB-REST-AUD-23A3785B,Cafetería D'Eliz,https://www.facebook.com/heladeria.copoya
SB-REST-AUD-13B997DA,"Cafetería del Parque - Home - Tuxtla Gutiérrez, Chiapas",https://www.facebook.com/278274889478545
SB-REST-AUD-B7F25FBD,Cafetería del Parque Boulevard | Tuxtla Gutiérrez,https://www.facebook.com/Cafeteriadelparqueboulevard
SB-REST-AUD-10069B20,Cafetería Semilla Nativa,https://www.facebook.com/share/16HW9tGX1Z
SB-REST-AUD-190F8EC9,Cafetería Semilla Nativa | Tuxtla Gutiérrez,https://www.facebook.com/CafeteriaSemillaNativa
SB-REST-AUD-B1EC7801,Cafetería Sierra Azul,https://www.facebook.com/sierra.azull.1
SB-REST-AUD-150FE582,Cafetería Sierra Azul | Tuxtla Gutiérrez,https://www.facebook.com/p/Cafeter%C3%ADa-Sierra-Azul-100076022355442
SB-REST-AUD-16523DF7,Café Bar 500 Noches Tuxtla | Tuxtla Gutiérrez,https://www.facebook.com/cafebar500noches
SB-REST-AUD-45A95268,Café CURRUCHO,https://www.facebook.com/share/1Dn2K6qsGg
SB-REST-AUD-A0E163C0,Café de la Luz Tuxtla | Tuxtla Gutiérrez,https://www.facebook.com/cafedelaluztuxtla
SB-REST-AUD-43000209,Café DeChiapas Restaurant - Cabaña | Tuxtla Gutiérrez,https://www.facebook.com/cafedechiapasmx
SB-REST-AUD-5FD95FE3,Café Jaguar Negro | Tuxtla Gutiérrez,https://www.facebook.com/Cafe.JaaguarNegro
SB-REST-AUD-982552A6,Café Monte Verde - Productos Chiapanecos,https://www.facebook.com/cafemonteverde
SB-REST-AUD-EECCF2D8,Café Nahmú | Tuxtla Gutiérrez,https://www.facebook.com/CafeNahmu
SB-REST-AUD-13400F5F,Café Urbano | Tuxtla Gutiérrez,https://www.facebook.com/cafe.urbanomx
SB-REST-AUD-0196784C,Cafécito con Pan de Doña Esther,https://www.facebook.com/CafecitoConPanDE
SB-REST-AUD-AD80AF23,Caivalu Cafeteria | Tuxtla Gutiérrez,https://www.facebook.com/p/Caivalu-Cafeteria-100063701043961
SB-REST-AUD-3050F678,Cajas para pizza prizebox | Tuxtla Gutiérrez,https://www.facebook.com/p/Cajas-para-pizza-prizebox-100077314061970
SB-REST-AUD-96E593CA,Calditos La Tía,http://www.facebook.com/calditoslatia
SB-REST-AUD-37BAC454,Callejon Gourmet,http://www.facebook.com/callejongourmet
SB-REST-AUD-CC95936B,Camarones y pescado secos Don Artemio,https://www.facebook.com/share/1A76aJFnWG
SB-REST-AUD-8F46AF25,Candilejas Restaurante | Tuxtla Gutiérrez,https://www.facebook.com/candilejastuxtla
SB-REST-AUD-F79DF0C1,Candox Flores y Café | Tuxtla Gutiérrez,https://www.facebook.com/candoxfloresycafe
SB-REST-AUD-94EDA5BA,Casa Conejo Café Cultural | Tuxtla Gutiérrez Centro,https://www.facebook.com/casaconejocafe
SB-REST-AUD-D8218D9B,Casa Margaritas Restaurant & Jardín | Tuxtla Gutiérrez,https://www.facebook.com/CasaMargaritasChis
SB-REST-AUD-2E787F94,Casa Mia Restaurante & Cafetería | Tuxtla Gutiérrez,https://www.facebook.com/p/Casa-Mia-Restaurante-Cafeter%C3%ADa-61575875519235
SB-REST-AUD-7FB72FC0,Casa Nostra,http://www.facebook.com/casanostratuxtla
SB-REST-AUD-F11C5B18,Casa Nostra Pizza | Tuxtla Gutiérrez,https://www.facebook.com/CasaNostraPizza
SB-REST-AUD-A706D21F,Casa Oropeza | Tuxtla Gutiérrez,https://www.facebook.com/CafeOropeza
SB-REST-AUD-6EBDC57A,Casa Simall Restaurant & Cafetería | Tuxtla Gutiérrez,https://www.facebook.com/casasimall
SB-REST-AUD-DD384F90,Casa Vainilla Restaurante | Tuxtla Gutiérrez,https://www.facebook.com/CasaVainillaRestaurante
SB-REST-AUD-49816617,"Cenaduria ""La Quinta"" | Tuxtla Gutiérrez",https://www.facebook.com/LaQuintaCenaduria
SB-REST-AUD-4D809E00,"Cenaduría El Panal - Home - Tuxtla Gutiérrez, Chiapas",https://www.facebook.com/pages/Cenadur%C3%ADa-El-Panal/293256267544503
SB-REST-AUD-51E74651,Charolas de mariscos tia blanquita | Tuxtla Gutiérrez,https://www.facebook.com/p/Charolas-de-mariscos-tia-blanquita-100061017409635
SB-REST-AUD-C026873F,Cheat Meal Tuxtla,https://www.facebook.com/pg/cheatmealtuxtla
SB-REST-AUD-9E885147,Chía Restaurante | Tuxtla Gutiérrez,https://www.facebook.com/Restaurantechia
SB-REST-AUD-3F63F8F6,Cocina Alebrijes | Tuxtla Gutiérrez,https://www.facebook.com/alebrijescenaduriatuxtla
SB-REST-AUD-6CDB7FE9,Cocina siloe tux. | Tuxtla Gutiérrez,https://www.facebook.com/p/Cocina-siloe-tux-100067807464672
SB-REST-AUD-4DA20DFA,Cocina Tradicional y café luna,https://www.facebook.com/lupita.vera.39750121
SB-REST-AUD-7358D36A,"Cocina Tradicional Zoque, Copoya Mujeres Zoques Copoya A.C.",https://www.facebook.com/Cocinatradicionalzoque
SB-REST-AUD-15E4BFEE,Coco Cocina de Puerto | Tuxtla Gutiérrez,https://www.facebook.com/p/Coco-Cocina-de-Puerto-100077582349715
SB-REST-AUD-8E5A78D6,Coctelería El Noa NoaNoa,https://www.facebook.com/share/1AetsHJk7V
